decoder,metric,budget,mean,lo,hi
EA+TS-LR,kappa,0,0.3764,0.225,0.5333
EA+TS-LR,kappa,5,0.4692,0.3248,0.6003
EA+TS-LR,kappa,10,0.4915,0.3252,0.6487
EA+TS-LR,kappa,20,0.5168,0.3428,0.6785
EA+TS-LR,kappa,40,0.5159,0.3348,0.6947
EA+TS-LR,kappa,80,0.5375,0.3865,0.6896
EEGNet,kappa,0,0.4028,0.2111,0.5764
EEGNet,kappa,5,0.4691,0.2665,0.6444
EEGNet,kappa,10,0.4943,0.3112,0.6819
EEGNet,kappa,20,0.5175,0.3209,0.7031
EEGNet,kappa,40,0.526,0.3126,0.7251
EEGNet,kappa,80,0.5617,0.3632,0.7445
TTA (Tent),kappa,0,0.4028,0.2069,0.5736
TTA (Tent),kappa,5,0.4377,0.2577,0.612
TTA (Tent),kappa,10,0.4396,0.2525,0.6149
TTA (Tent),kappa,20,0.4465,0.2528,0.6326
TTA (Tent),kappa,40,0.4472,0.2395,0.6285
TTA (Tent),kappa,80,0.4559,0.2698,0.636
CfC (cont.-time),kappa,0,0.3944,0.275,0.5
CfC (cont.-time),kappa,5,0.4635,0.2921,0.62
CfC (cont.-time),kappa,10,0.5224,0.341,0.6853
CfC (cont.-time),kappa,20,0.5563,0.3625,0.7184
CfC (cont.-time),kappa,40,0.575,0.3779,0.7441
CfC (cont.-time),kappa,80,0.6129,0.4248,0.7856
EA+TS-LR,nll,0,0.5621,0.475,0.6355
EA+TS-LR,nll,5,0.5483,0.4739,0.6182
EA+TS-LR,nll,10,0.5401,0.4609,0.615
EA+TS-LR,nll,20,0.524,0.4316,0.6079
EA+TS-LR,nll,40,0.512,0.4189,0.6034
EA+TS-LR,nll,80,0.4941,0.4005,0.5835
EEGNet,nll,0,0.5874,0.4547,0.7192
EEGNet,nll,5,0.559,0.4114,0.707
EEGNet,nll,10,0.5243,0.3737,0.6763
EEGNet,nll,20,0.4955,0.3496,0.633
EEGNet,nll,40,0.4791,0.3357,0.6177
EEGNet,nll,80,0.424,0.2864,0.5602
TTA (Tent),nll,0,0.5874,0.4624,0.7236
TTA (Tent),nll,5,0.5885,0.4377,0.7338
TTA (Tent),nll,10,0.5709,0.4178,0.7194
TTA (Tent),nll,20,0.5682,0.4197,0.711
TTA (Tent),nll,40,0.5682,0.4151,0.7187
TTA (Tent),nll,80,0.5567,0.4144,0.6955
CfC (cont.-time),nll,0,0.6332,0.5008,0.7876
CfC (cont.-time),nll,5,0.7266,0.5372,0.9236
CfC (cont.-time),nll,10,0.5369,0.3816,0.702
CfC (cont.-time),nll,20,0.4851,0.3422,0.6404
CfC (cont.-time),nll,40,0.4381,0.3016,0.5818
CfC (cont.-time),nll,80,0.3786,0.2412,0.5314
